Sentence,NegPos
Ürünü kargo teslim süresi içerisinde teslim aldım. Aldığım ürün ekranin sağ ve sol iki taratan yukarıdan aşağıya doğru ince ince beyaz noktalar çizgi halinde. Bundan ötürü memnun kalmadım ürünü iade edip değiştirilmesini istiyorum.,0
Elime ulaştığı ilk gün kullanmaya başladım bir kaç saat içinde alet kapandı ve açılmadı. Amazona olan güvenim sarsıldı..,0
İncecik bir ssd disk a3 zarf içerisine konur mu? İlk defa böyle birşey gördüm. Cihaz ezilmiş ve yamulmuş halde geldi.,0
İlanda ürün korea yazıyor gelen ürün cin malı yazıyor ürün hiç çalışmadı yani arızalı çıktı geri iade edeceğim,0
Büyük hevesle almama rağmen ürün bozuk çıktı..iade edilmesine rağmen param hala yatmadı,0
Fiyat performans ve güncel sayılabilecek işletim sistemi ile güzel tablet.,1
Güzel fp ürünü çok memnun kaldım tskler,1
Macbook Pro mid. 2012 bilgisayarım için aldım. Bilgisayarımın açılış ve kullanım hızı oldukça arttı. Ürün gerçekten çok kaliteli. Piyasadaki en iyi fiyatı sunan Amazon.com.tr ye teşekkürler.,1
Windows10 sıfırdan yüklemesi 1dk sürdü pc açılısı 1 sn sürüyor varın hızını siz hesap edin. 250gb yerine 500 gb alınabilir,1
Bilgisayar şuan aldığımdan 5 kat daha hızlı. Ayrıyeten PC den çıkan harddiskiniz için harddisk kutusu alıp takın harici olarak taşıyın. Veya CD rom yerine şuanki harddiskinizi takıp ikisini de kullanabilirsiniz.,1
